,EC squamous,EC squamous.1,EC squamous.2,EC squamous.3,EC squamous.4,EC squamous.5,EC squamous.6,EC squamous.7,EC squamous.8,EC squamous.9,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr1.2987521.F,3,0,3,1,1,0,0,3,0,NA,0,1,0,0,5,2,0,0,0,3,0,0,0,2,1,7,0,1
chr1.2987525.F,2,1,3,0,0,0,1,1,2,NA,1,1,0,1,0,1,5,0,2,3,0,1,0,2,0,4,0,1
chr1.2987530.F,8,2,8,0,0,1,1,5,0,NA,3,5,2,1,6,5,0,2,6,6,0,3,2,6,1,13,0,2
chr1.2987533.F,6,1,5,0,1,0,0,6,0,NA,1,6,0,1,5,8,3,0,7,5,0,4,2,1,2,12,0,1
chr1.2987536.F,7,2,4,0,0,0,0,2,0,NA,3,2,0,0,4,4,8,0,7,4,0,3,0,3,1,13,0,0
chr1.2987539.F,5,0,3,0,0,0,1,3,0,NA,2,4,0,1,5,0,2,0,3,1,0,1,0,5,0,14,0,0
chr1.2987541.F,9,3,10,0,1,0,2,9,2,NA,6,4,0,2,8,1,1,0,12,7,2,6,2,6,0,16,1,1
chr1.2987558.F,10,1,11,1,1,0,1,10,2,NA,7,6,0,4,6,5,7,6,6,6,0,6,0,7,1,23,2,3
chr1.2987559.R,NA,3,7,0,0,1,1,11,0,NA,1,3,1,1,4,7,4,0,6,7,1,13,2,6,2,15,1,3
chr1.2987560.F,8,0,11,0,0,1,1,10,0,NA,6,8,2,3,8,9,5,6,9,8,0,5,1,9,2,23,0,2
chr1.2987561.R,NA,2,2,0,1,0,1,7,1,NA,2,5,1,3,6,8,1,0,7,5,1,11,2,6,2,14,3,4
chr1.2987563.F,8,3,11,0,3,0,1,8,0,NA,3,8,0,1,5,5,5,4,12,7,0,7,2,10,0,18,1,2
chr1.2987564.R,NA,0,5,0,1,0,4,10,0,NA,2,5,0,3,8,7,2,1,6,8,1,12,2,4,2,11,0,3
chr1.2987568.F,8,3,5,2,1,1,2,10,2,NA,8,10,2,2,10,7,4,6,6,8,0,6,1,13,2,21,1,1
chr1.2987569.R,NA,0,2,1,2,1,3,8,3,NA,1,7,1,1,4,11,3,1,7,12,0,13,0,8,3,20,2,3
chr1.2987577.F,5,5,13,2,2,1,6,11,1,NA,5,7,2,1,10,15,4,8,12,15,2,9,3,15,6,24,2,2
chr1.2987578.R,NA,8,9,1,4,0,3,9,0,NA,3,9,0,1,5,11,5,0,6,11,8,15,7,16,8,20,7,3
chr1.2987579.F,NA,1,9,1,1,2,NA,12,1,NA,6,9,0,1,8,9,0,3,5,11,0,7,0,11,0,22,0,2
chr1.2987580.R,NA,3,4,1,2,0,3,10,0,NA,2,11,0,1,4,11,3,1,7,9,3,13,4,8,2,22,3,3
chr1.2987581.F,NA,0,9,2,1,0,NA,8,1,NA,3,8,2,2,8,11,4,4,9,11,1,8,1,10,1,22,0,2
chr1.2987582.R,NA,4,4,2,1,1,6,11,0,NA,4,10,0,1,5,11,1,2,5,8,2,15,3,11,1,22,2,3
chr1.2987592.F,NA,3,10,1,2,0,NA,8,1,NA,6,9,2,1,8,8,5,8,13,7,0,8,3,12,0,21,0,2
chr1.2987593.R,5,2,4,1,3,1,6,13,0,NA,4,14,0,1,6,15,3,1,7,10,0,15,8,13,0,16,2,3
chr1.2987598.F,NA,3,13,3,5,0,NA,11,4,NA,5,9,2,3,9,14,4,2,16,15,1,6,1,13,2,16,1,2
chr1.2987599.R,7,2,6,0,4,1,7,11,3,NA,5,12,0,1,7,19,5,3,6,12,2,14,6,16,5,17,1,3
chr1.2987604.F,NA,1,11,0,2,0,NA,10,1,NA,3,8,2,2,6,9,3,7,25,11,0,4,0,8,0,9,0,2
chr1.2987605.R,4,1,4,1,2,1,7,12,0,NA,3,13,0,1,3,10,5,0,4,9,2,7,2,6,0,12,0,1
chr1.2987610.F,NA,1,11,0,0,0,NA,6,1,NA,NA,8,0,1,6,9,3,0,10,7,0,4,0,3,1,3,0,2
chr1.2987611.R,5,0,3,0,2,1,6,12,0,NA,5,11,0,3,4,10,1,0,3,7,0,3,1,4,0,5,2,3
chr1.2987628.R,6,1,3,0,2,0,6,9,0,NA,3,8,0,2,3,10,2,1,1,7,0,4,1,8,0,1,1,1
chr1.2987630.R,NA,1,2,0,1,0,5,7,0,NA,5,11,0,0,3,10,6,1,3,6,0,5,1,4,0,1,0,1
chr1.2987646.R,3,0,3,0,0,0,1,5,0,NA,4,6,0,0,3,8,2,1,3,2,0,2,1,2,0,1,0,0
chr1.2987655.R,5,0,1,0,0,0,3,6,0,NA,4,5,0,0,9,5,2,0,10,2,0,2,2,4,1,2,0,2
chr1.6269142.F,7,2,8,1,1,1,2,13,2,NA,1,1,2,0,0,2,1,2,10,10,2,16,0,10,0,0,0,5
chr1.6269157.F,9,1,8,1,1,0,2,12,2,NA,1,1,1,3,0,3,1,2,8,9,1,16,0,8,0,0,0,4
chr1.6269161.F,8,1,9,0,1,1,2,13,0,NA,0,3,0,0,0,2,1,2,7,8,2,16,1,10,0,0,0,6
chr1.6269164.F,8,1,8,0,1,1,2,12,2,NA,1,1,0,0,0,2,1,2,8,9,1,16,0,8,1,0,0,5
chr1.6269170.F,9,1,5,0,1,1,2,8,1,NA,1,3,0,0,0,1,0,2,6,9,2,17,1,7,0,0,1,4
chr1.6269175.F,7,0,8,1,1,0,2,11,1,NA,0,0,3,0,0,2,0,1,6,6,1,15,0,6,0,0,0,4
chr1.6269182.F,8,1,8,1,1,0,2,10,1,NA,0,0,0,0,0,2,0,2,8,9,2,16,0,7,2,0,0,4
chr1.6269209.F,7,1,7,1,1,0,2,12,1,NA,0,2,2,3,0,3,2,1,5,7,0,13,0,7,0,1,0,4
chr1.6269234.F,8,2,8,0,1,1,1,12,3,NA,3,1,1,2,0,3,2,4,10,9,1,14,0,8,2,0,0,7
chr1.6269272.R,2,0,3,0,NA,0,NA,3,0,NA,0,0,0,0,1,0,2,NA,2,4,0,NA,0,1,0,0,0,2
chr1.6269274.R,1,0,5,0,NA,0,NA,3,1,NA,0,0,0,0,1,0,0,NA,7,3,0,NA,0,2,0,0,0,2
chr1.6269295.R,1,0,5,0,NA,2,NA,4,0,NA,0,0,0,0,0,0,1,NA,3,2,0,NA,0,2,0,0,0,1
chr1.6269303.R,2,0,5,0,NA,0,NA,4,0,NA,2,1,0,0,1,0,0,NA,3,5,0,NA,0,3,0,0,0,2
chr1.6269314.R,4,0,4,0,NA,0,NA,5,0,NA,3,0,0,0,1,0,2,NA,3,6,0,NA,1,3,0,0,0,2
chr1.6269317.R,4,0,4,0,NA,0,NA,4,0,NA,0,0,0,0,2,0,2,NA,3,6,0,NA,0,3,0,0,0,3
chr1.6269336.R,2,0,5,0,NA,0,NA,3,0,NA,0,0,0,0,0,0,2,NA,0,5,2,NA,0,3,0,0,0,1
chr1.50884349.F,27,2,29,1,18,2,6,26,11,13,1,7,3,7,18,12,11,1,24,20,4,12,2,30,2,27,0,10
chr1.50884354.F,25,0,30,0,17,1,5,29,3,13,2,3,7,4,7,2,10,3,22,18,3,10,1,26,5,28,1,10
chr1.50884357.F,26,1,31,1,17,0,5,30,2,10,1,6,7,4,7,2,13,3,25,15,5,11,1,33,1,24,0,10
chr1.50884372.F,29,0,30,1,17,1,6,32,1,13,1,2,2,5,6,3,7,7,19,16,5,11,2,33,5,23,0,10
chr1.50884381.F,26,1,25,1,17,0,5,32,0,12,3,2,2,2,2,0,5,4,16,18,2,9,1,30,1,26,0,10
chr1.50884384.F,27,2,28,0,18,0,5,30,3,12,0,4,7,5,2,4,8,1,20,20,2,11,2,32,1,25,0,10
chr1.50884387.F,26,2,29,0,17,0,5,30,0,9,0,2,2,5,2,1,5,1,19,16,1,11,0,29,1,27,0,9
chr1.50884394.F,23,3,27,2,16,0,5,24,3,12,0,2,1,4,3,3,4,4,15,13,1,10,0,26,0,22,0,8
chr1.50884409.F,21,4,29,1,17,0,5,27,6,11,0,1,2,4,9,5,14,1,16,12,8,12,3,27,1,27,1,11
chr1.50884410.R,NA,1,7,2,NA,0,1,4,1,NA,0,2,3,4,3,3,2,3,6,6,1,13,0,12,0,22,0,8
chr1.50884412.F,6,1,9,0,NA,0,0,16,3,NA,2,0,0,4,1,2,6,0,6,12,3,10,2,21,1,23,0,9
chr1.50884413.R,NA,0,6,0,NA,0,0,5,1,NA,0,3,5,3,1,2,0,1,6,9,1,14,0,10,2,20,0,9
chr1.50884420.F,0,1,2,2,NA,0,0,5,2,NA,0,2,3,1,0,1,3,1,5,9,3,7,1,13,0,13,0,8
chr1.50884421.R,1,0,7,2,NA,0,1,6,3,NA,0,2,1,3,3,2,3,1,6,7,1,12,2,13,0,24,0,10
chr1.50884423.F,1,0,1,2,NA,0,0,6,0,NA,0,0,0,0,1,0,2,0,3,6,1,7,0,12,1,11,0,8
chr1.50884424.R,2,0,7,1,NA,0,0,7,1,NA,1,1,1,3,1,2,1,2,6,7,2,13,1,13,2,22,1,10
chr1.50884427.F,NA,0,3,0,NA,0,NA,NA,0,NA,0,0,0,1,1,0,0,0,5,4,1,5,0,8,0,10,0,4
chr1.50884428.R,3,0,11,0,NA,1,0,10,1,NA,1,2,2,0,0,2,1,1,7,7,3,15,1,12,0,20,0,10
chr1.50884431.F,NA,0,1,2,NA,0,NA,NA,1,NA,0,2,1,3,2,1,7,0,5,7,7,3,2,11,4,7,0,4
chr1.50884432.R,3,1,16,2,NA,2,0,9,0,NA,1,6,1,3,2,2,3,3,8,10,1,16,1,15,2,25,1,11
chr1.50884437.F,NA,0,1,0,NA,0,NA,NA,0,NA,0,3,0,0,1,0,4,0,2,4,0,2,0,8,0,6,0,3
chr1.50884438.R,3,0,14,0,NA,1,0,12,0,NA,0,2,1,0,0,0,0,1,7,6,0,11,0,14,0,25,0,10
chr1.50884448.R,4,1,17,0,8,1,1,14,1,NA,0,4,1,2,3,2,1,2,8,7,0,14,0,11,1,24,0,11
chr1.50884457.R,4,0,17,0,8,1,1,14,2,NA,1,4,1,0,1,1,0,2,7,9,1,12,0,14,1,23,0,11
chr1.50884474.R,NA,0,15,3,8,1,2,15,0,NA,1,4,1,0,1,1,1,3,6,7,2,12,0,13,0,24,1,11
chr1.50884481.R,4,0,13,1,8,1,1,13,0,NA,0,3,1,0,0,0,0,3,6,5,1,9,0,12,0,21,0,11
chr1.50884485.R,3,0,15,2,8,0,1,12,0,NA,0,3,1,0,0,0,1,2,6,5,0,11,0,12,0,21,0,11
chr1.50884499.R,4,0,13,0,8,0,0,12,0,NA,0,1,0,0,0,0,0,2,0,5,0,9,0,11,0,19,0,7
chr1.50885132.F,14,1,9,0,9,1,4,10,1,NA,2,2,0,0,6,1,0,1,13,7,1,4,1,10,0,4,2,9
chr1.50885146.F,14,3,8,1,8,2,3,9,2,NA,3,3,0,0,2,1,0,3,13,10,1,6,1,10,2,11,2,9
