,EC squamous,EC squamous.1,EC squamous.2,EC squamous.3,EC squamous.4,EC squamous.5,EC squamous.6,EC squamous.7,EC squamous.8,EC squamous.9,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr1.2987521.F,13,17,29,21,11,15,10,20,58,NA,13,19,31,58,24,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987525.F,13,17,29,21,11,15,10,20,58,NA,13,19,31,58,24,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987530.F,13,17,29,21,11,15,10,20,58,NA,13,19,31,58,24,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987533.F,13,17,29,21,11,15,10,20,58,NA,13,19,31,58,24,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987536.F,13,17,29,21,11,15,10,20,58,NA,13,19,31,58,24,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987539.F,13,17,29,21,11,15,10,20,58,NA,13,19,31,58,24,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987541.F,13,17,29,21,11,15,10,20,58,NA,13,19,31,58,24,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987558.F,11,17,29,20,11,15,10,20,56,NA,13,19,31,56,23,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987559.R,NA,33,19,30,16,17,11,15,44,NA,11,25,31,41,15,31,49,31,29,24,40,21,44,43,37,27,36,10
chr1.2987560.F,10,17,29,21,11,15,10,20,56,NA,13,19,31,56,23,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987561.R,NA,33,19,30,16,18,11,15,44,NA,11,25,31,41,15,32,49,32,29,24,40,21,45,43,39,27,38,10
chr1.2987563.F,10,16,29,21,11,15,10,20,56,NA,12,19,31,56,23,31,66,49,41,27,23,22,29,35,26,28,15,10
chr1.2987564.R,NA,33,20,30,16,18,11,15,45,NA,11,26,32,41,16,33,49,32,29,24,40,21,45,45,40,29,38,11
chr1.2987568.F,10,15,28,21,11,15,10,20,56,NA,12,18,31,54,23,31,65,49,41,27,23,22,29,35,26,28,15,10
chr1.2987569.R,NA,33,20,30,16,18,12,15,45,NA,11,26,32,41,16,33,49,32,29,24,40,21,45,45,41,30,38,11
chr1.2987577.F,10,15,28,21,11,14,10,20,56,NA,12,18,31,54,22,31,65,49,41,27,23,22,29,35,26,28,15,10
chr1.2987578.R,NA,33,19,31,16,19,12,15,47,NA,11,26,32,41,17,33,50,32,29,24,40,21,45,45,42,30,38,11
chr1.2987579.F,NA,14,28,21,11,14,NA,20,56,NA,10,17,31,53,21,31,63,49,41,27,22,22,29,34,26,28,14,10
chr1.2987580.R,NA,33,21,32,16,19,12,16,49,NA,12,27,34,41,17,34,50,32,30,25,40,21,45,45,42,30,40,11
chr1.2987581.F,NA,14,28,21,11,14,NA,20,56,NA,10,17,31,53,21,31,63,49,41,27,22,22,28,34,26,28,14,10
chr1.2987582.R,NA,33,21,33,17,19,14,17,49,NA,13,31,34,43,17,36,50,32,34,25,41,23,47,46,42,30,40,11
chr1.2987592.F,NA,14,28,21,11,14,NA,19,55,NA,10,16,30,53,20,31,63,48,41,27,20,21,27,32,25,28,13,10
chr1.2987593.R,10,33,21,33,17,19,14,17,49,NA,13,31,34,43,17,36,50,32,34,25,41,23,47,46,42,30,40,11
chr1.2987598.F,NA,14,28,21,11,14,NA,19,54,NA,10,16,30,53,20,31,63,48,41,27,20,21,27,32,25,28,12,10
chr1.2987599.R,10,33,21,33,17,19,14,17,49,NA,13,31,34,43,17,36,50,32,34,25,41,23,47,46,42,30,40,11
chr1.2987604.F,NA,14,28,20,11,14,NA,19,54,NA,10,16,30,52,20,31,63,42,40,27,20,21,27,31,25,28,12,10
chr1.2987605.R,10,33,21,33,17,19,14,17,49,NA,13,31,34,43,17,36,50,32,34,25,41,23,47,46,42,30,40,11
