,EC adenocarcinoma,EC adenocarcinoma.1,EC adenocarcinoma.2,EC adenocarcinoma.3,EC adenocarcinoma.4,EC adenocarcinoma.5,EC adenocarcinoma.6,EC adenocarcinoma.7,EC adenocarcinoma.8,EC adenocarcinoma.9,EC adenocarcinoma.10,EC adenocarcinoma.11,EC adenocarcinoma.12,EC adenocarcinoma.13,EC adenocarcinoma.14,EC adenocarcinoma.15,EC adenocarcinoma.16,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr1.4715931.F,19,6,0,19,4,1,0,0,0,NA,1,1,0,1,0,0,9,0,6,14,0,7,0,0,1,0,34,0,0,0,1,0,0,1,2
chr1.4715942.F,22,6,0,16,9,0,2,0,0,NA,1,3,0,0,1,0,11,0,10,14,0,7,0,0,1,2,30,0,0,0,2,0,1,0,1
chr1.4715943.R,19,12,0,7,7,0,0,0,0,NA,0,1,0,0,NA,0,10,0,12,8,NA,8,2,0,NA,0,10,0,NA,0,NA,0,NA,0,13
chr1.4715951.F,28,8,1,19,8,0,0,0,0,NA,0,4,0,0,2,0,10,2,10,12,2,8,0,1,1,0,36,0,0,0,5,0,0,0,4
chr1.4715952.R,21,13,0,9,8,1,0,0,0,NA,0,2,0,2,NA,1,10,0,12,8,NA,8,2,0,NA,0,11,0,NA,0,NA,0,NA,0,13
chr1.4715957.F,26,8,1,19,3,0,0,0,3,NA,0,4,0,0,1,1,10,2,10,14,2,8,0,0,1,0,34,0,0,0,3,0,1,0,1
chr1.4715958.R,19,12,1,9,8,1,0,0,0,NA,0,1,0,0,NA,0,10,0,13,8,NA,8,3,0,NA,0,13,0,NA,0,NA,0,NA,0,11
chr1.4715992.F,33,7,0,19,12,0,0,0,0,NA,1,4,0,1,7,1,10,0,11,13,2,8,0,1,1,2,35,0,0,0,8,0,2,0,5
chr1.4715993.R,22,12,0,9,13,0,0,0,0,NA,0,1,0,2,NA,4,10,0,13,8,NA,9,3,0,NA,2,11,0,NA,0,NA,0,NA,0,11
chr1.4716012.F,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,3,0,1,0,NA,2,0,NA,0,0,0,0,3,0,0,0,0,0,0,0,0
chr1.4716013.R,13,11,0,9,8,0,0,0,0,NA,0,0,0,2,NA,0,9,0,13,8,NA,9,2,0,NA,0,13,0,NA,0,NA,0,NA,0,7
chr1.4716021.R,16,12,0,9,9,0,0,0,2,NA,0,0,0,0,NA,0,10,0,13,8,NA,9,0,0,NA,0,14,0,NA,0,NA,0,NA,1,8
chr1.39044145.F,44,26,0,27,26,0,0,0,0,0,1,4,0,3,0,0,18,2,39,26,1,20,0,5,0,0,62,0,10,0,18,0,5,0,13
chr1.39044152.F,45,26,0,31,24,0,0,0,5,0,2,4,0,1,0,1,19,NA,43,26,3,20,0,7,0,2,66,0,10,0,19,0,12,0,13
chr1.39044153.R,40,8,2,22,24,0,0,0,0,0,0,5,2,0,0,1,14,4,27,16,1,7,1,4,1,3,38,0,9,0,18,0,7,0,11
chr1.39044166.F,46,26,1,28,24,0,0,0,0,0,1,4,0,1,1,1,18,3,47,26,1,20,0,2,0,0,67,0,10,0,19,0,16,1,13
chr1.39044167.R,39,6,0,20,22,1,0,0,3,0,0,2,2,0,3,1,12,5,27,16,1,7,1,4,4,1,34,1,9,0,18,0,15,0,12
chr1.39044172.F,41,24,0,30,23,0,0,0,5,0,0,1,0,1,0,0,16,3,43,26,0,20,0,1,0,0,64,2,10,0,16,0,8,0,12
chr1.39044173.R,39,6,0,23,22,2,0,0,0,0,0,2,3,0,2,1,13,5,27,15,0,7,1,4,3,2,35,0,9,0,17,0,13,0,11
chr1.39044192.F,43,24,0,31,22,0,0,0,0,0,0,2,0,0,0,0,16,NA,47,26,0,17,0,2,0,1,60,0,8,0,19,0,9,0,12
chr1.39044193.R,36,8,1,23,25,1,0,0,0,0,0,1,2,0,0,0,10,4,27,15,0,6,1,1,1,0,38,0,7,0,15,0,6,0,11
chr1.39044196.F,44,24,1,31,17,0,0,0,8,0,0,1,1,1,0,1,16,3,47,26,0,20,0,2,0,0,67,0,9,0,19,0,15,0,12
chr1.39044197.R,40,8,1,23,24,1,0,0,1,1,0,1,2,0,0,0,13,6,27,16,0,7,3,4,0,2,42,0,10,0,18,2,14,1,11
chr1.39044212.F,42,24,1,30,18,0,0,0,0,0,0,2,0,1,0,1,17,2,46,26,0,19,1,3,0,0,62,0,9,0,18,0,15,0,13
chr1.39044213.R,41,8,0,22,19,1,0,0,0,0,0,1,2,0,0,1,13,4,27,16,0,7,1,4,0,0,41,0,9,0,18,0,14,0,12
chr1.39044214.F,42,24,0,30,16,0,0,0,0,0,0,0,1,0,1,0,17,1,46,26,0,20,0,0,0,0,63,0,9,0,18,0,11,0,12
chr1.39044215.R,41,8,0,23,15,0,0,0,0,0,0,0,0,0,0,1,13,5,27,16,0,7,0,3,0,0,40,0,9,0,18,0,14,0,11
chr1.39044218.F,40,23,0,28,11,0,0,0,0,0,0,2,0,0,0,0,15,2,43,25,0,20,0,0,0,0,63,0,9,0,16,0,4,0,10
chr1.39044219.R,37,7,1,20,11,1,0,0,0,0,0,1,2,0,0,1,13,2,26,15,0,7,1,0,3,1,38,0,9,0,18,0,7,0,11
chr1.39044221.F,44,24,1,30,17,1,0,0,1,0,4,2,0,1,1,1,15,2,43,26,0,20,3,1,0,1,61,0,9,0,18,0,15,0,9
chr1.39044222.R,41,8,0,20,13,2,0,0,0,0,0,3,2,0,2,3,13,3,26,19,0,6,0,5,0,0,41,1,9,0,17,0,11,0,12
chr1.39044227.F,41,24,0,31,9,0,0,0,0,0,0,2,0,1,0,0,14,1,46,22,0,20,0,0,0,0,62,0,9,0,18,0,7,0,10
chr1.39044228.R,40,8,1,22,9,0,0,0,0,0,0,1,2,0,1,0,13,3,26,11,0,7,1,0,0,1,40,0,11,1,18,0,5,1,12
chr1.39044239.R,32,4,2,15,1,1,0,0,0,0,0,1,2,0,0,0,12,0,24,15,0,5,1,4,0,0,34,0,6,0,8,0,2,0,6
chr1.39980533.R,22,15,1,18,3,0,0,0,0,NA,0,2,0,0,0,0,11,0,8,NA,0,7,0,0,0,0,14,1,NA,0,8,0,NA,0,6
chr1.39980541.R,30,11,1,19,4,0,0,0,0,NA,0,1,0,0,0,0,9,0,9,NA,0,7,0,0,0,0,18,0,NA,0,12,1,NA,1,7
chr1.39980543.R,31,14,1,19,4,0,0,0,0,NA,0,1,0,0,0,0,9,0,6,NA,0,7,0,0,0,0,16,0,NA,0,10,0,NA,1,5
chr1.39980547.R,27,14,1,17,5,2,1,0,0,NA,0,0,0,0,0,0,9,0,1,NA,0,7,0,0,4,0,20,0,NA,1,10,0,NA,0,7
chr1.39980551.R,26,14,1,19,6,0,1,1,0,NA,1,2,0,0,0,1,9,1,12,NA,0,7,0,0,4,1,22,0,NA,1,8,0,NA,2,8
