,EC adenocarcinoma,EC adenocarcinoma.1,EC adenocarcinoma.2,EC adenocarcinoma.3,EC adenocarcinoma.4,EC adenocarcinoma.5,EC adenocarcinoma.6,EC adenocarcinoma.7,EC adenocarcinoma.8,EC adenocarcinoma.9,EC adenocarcinoma.10,EC adenocarcinoma.11,EC adenocarcinoma.12,EC adenocarcinoma.13,EC adenocarcinoma.14,EC adenocarcinoma.15,EC adenocarcinoma.16,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr1.4715931.F,43,21,34,31,30,25,24,17,21,NA,22,21,20,32,30,18,29,46,21,21,34,15,20,44,30,27,46,23,26,27,25,34,22,33,23
chr1.4715942.F,43,21,34,31,30,25,24,17,21,NA,22,21,20,32,30,18,29,46,21,21,34,15,20,44,30,27,45,24,26,27,25,34,22,33,23
chr1.4715943.R,29,16,27,13,24,13,22,10,20,NA,13,17,15,27,NA,23,13,14,12,18,NA,15,14,25,NA,12,13,24,NA,27,NA,14,NA,25,23
chr1.4715951.F,43,21,34,31,30,25,24,17,21,NA,22,21,20,32,30,18,29,46,21,21,34,15,20,44,30,27,46,24,26,27,25,34,22,33,23
chr1.4715952.R,29,16,27,13,24,13,22,10,20,NA,13,17,15,27,NA,23,13,14,12,18,NA,15,14,25,NA,12,13,24,NA,27,NA,14,NA,25,23
chr1.4715957.F,43,21,34,31,30,24,24,17,21,NA,22,21,20,32,30,18,29,46,21,21,34,15,20,44,30,27,45,24,26,27,25,34,22,32,23
chr1.4715958.R,29,16,28,13,25,13,22,10,21,NA,14,18,15,27,NA,25,13,14,13,18,NA,15,14,25,NA,12,15,24,NA,28,NA,14,NA,27,23
chr1.4715992.F,43,21,34,31,30,25,24,17,21,NA,22,21,20,32,30,18,29,46,21,21,34,15,20,44,30,27,45,24,26,27,25,34,22,33,23
chr1.4715993.R,29,16,29,13,24,13,20,10,20,NA,14,18,15,26,NA,25,13,14,13,18,NA,15,14,25,NA,12,15,24,NA,28,NA,14,NA,27,23
chr1.4716012.F,18,12,23,17,19,18,19,13,14,NA,15,16,11,27,17,13,16,32,NA,10,23,NA,13,34,20,20,17,19,19,22,20,29,16,29,15
chr1.4716013.R,29,16,29,13,25,13,22,10,21,NA,14,19,15,27,NA,26,13,14,13,18,NA,15,14,25,NA,12,17,24,NA,28,NA,14,NA,27,23
chr1.4716021.R,29,16,29,13,25,13,22,10,21,NA,14,20,15,27,NA,26,13,14,13,18,NA,15,14,25,NA,12,17,24,NA,28,NA,14,NA,27,23
